name,name-new," latitude"," longitude"," elevation"," time"," comment"," symbol"," description"," latitude-new"," longitude-new"," time-new",name," Type-template",Comment-template
BP0.2,BP0.2,-45.463938,167.1531,20.309067,"2021-03-01 03:32:41+00:00",A24," Pin Blue","Line 2",-45.463946,167.15309,"2021-06-24 03:04:20+00:00",BP0.2,A24,""
BP01,BP01,-45.463723,167.154366,19.388821,"2021-03-01 03:07:14+00:00",A24," Pin Blue","Line 1",-45.463723,167.154354,"2021-06-24 03:04:20+00:00",BP01,A24,""
BP02,BP02,-45.463709,167.15456,24.330406,"2021-03-01 03:05:55+00:00",A24," Pin Blue","Line 1",-45.463715,167.154547,"2021-06-24 03:04:20+00:00",BP02,A24,""
BP03,BP03,-45.463407,167.154948,16.31744,"2021-03-01 03:04:09+00:00",DOC200," Pin Red","Line 1",-45.463411,167.154936,"2021-06-24 03:04:20+00:00",BP03,DOC200,""
BP04,BP04,-45.463381,167.155304,11.89422,"2021-03-01 03:02:22+00:00",A24," Pin Blue","Line 1",-45.463385,167.155297,"2021-06-24 03:04:20+00:00",BP04,A24,""
BP05,BP05,-45.463837,167.156082,18.161633,"2021-03-01 02:57:57+00:00",A24," Pin Blue","Line 1",-45.463839,167.156082,"2021-06-24 03:04:20+00:00",BP05,A24,""
BP06,BP06,-45.463518,167.156603,23.304579,"2021-03-01 02:56:24+00:00",DOC200," Pin Red","Line 1",-45.463523,167.156601,"2021-06-24 03:04:20+00:00",BP06,DOC200,""
BP07,BP07,-45.463173,167.156988,30.145847,"2021-03-01 02:53:50+00:00",A24," Pin Blue","Line 1",-45.463174,167.156982,"2021-06-24 03:04:20+00:00",BP07,A24,""
BP08,BP08,-45.463045,167.15748,25.032833,"2021-03-01 02:46:37+00:00",A24," Pin Blue","Line 1",-45.463046,167.157469,"2021-06-24 03:04:20+00:00",BP08,A24,""
BP09,BP09,-45.463345,167.157482,41.744884,"2021-03-01 02:44:38+00:00",DOC200," Pin Red","Line 1",-45.463352,167.157475,"2021-06-24 03:04:20+00:00",BP09,DOC200,""
BP10,BP10,-45.463629,167.157457,53.779259,"2021-03-01 02:43:03+00:00",A24," Pin Blue","Line 1",-45.46363,167.157447,"2021-06-24 03:04:20+00:00",BP10,A24,""
BP11,BP11,-45.464035,167.157498,61.625385,"2021-03-01 02:41:13+00:00",A24," Pin Blue","Line 1",-45.464037,167.157494,"2021-06-24 03:04:20+00:00",BP11,A24,""
BP12,BP12,-45.464227,167.157924,60.855202,"2021-03-01 02:38:28+00:00",DOC200," Pin Red","Line 1",-45.46423,167.157922,"2021-06-24 03:04:19+00:00",BP12,DOC200,""
BP13,BP13,-45.464436,167.158103,52.185066,"2021-03-01 02:37:10+00:00",A24," Pin Blue","Line 1",-45.464437,167.158092,"2021-06-24 03:04:19+00:00",BP13,A24,""
BP14,BP14,-45.464329,167.153335,26.433802,"2021-03-01 03:35:32+00:00",A24," Pin Blue","Line 2",-45.464337,167.153331,"2021-06-24 03:04:20+00:00",BP14,A24,""
BP15,BP15,-45.464337,167.153632,36.02346,"2021-03-01 03:39:18+00:00",A24," Pin Blue","Line 2",-45.464343,167.153624,"2021-06-24 03:04:20+00:00",BP15,A24,""
BP16,BP16,-45.464525,167.153943,41.437988,"2021-03-01 03:41:06+00:00",DOC200," Pin Red","Line 2",-45.46453,167.153938,"2021-06-24 03:04:20+00:00",BP16,DOC200,""
BP17,BP17,-45.464478,167.1542,39.749222,"2021-03-01 03:42:37+00:00",A24," Pin Blue","Line 2",-45.46448,167.154199,"2021-06-24 03:04:20+00:00",BP17,A24,""
BP18,BP18,-45.464565,167.154636,30.527458,"2021-03-01 03:44:21+00:00",A24," Pin Blue","Line 2",-45.464565,167.154625,"2021-06-24 03:04:20+00:00",BP18,A24,""
BP19,BP19,-45.464769,167.155173,32.280613,"2021-03-01 03:46:12+00:00",DOC200," Pin Red","Line 2",-45.464773,167.155166,"2021-06-24 03:04:20+00:00",BP19,DOC200,""
BP20,BP20,-45.464694,167.155648,30.912422,"2021-03-01 03:47:53+00:00",A24," Pin Blue","Line 2",-45.464699,167.155647,"2021-06-24 03:04:20+00:00",BP20,A24,""
BP21,BP21,-45.464541,167.155918,31.87981,"2021-03-01 03:49:28+00:00",A24," Pin Blue","Line 2",-45.464541,167.155907,"2021-06-24 03:04:20+00:00",BP21,A24,""
BP22,BP22,-45.464766,167.156253,37.034203,"2021-03-01 03:51:36+00:00",DOC200," Pin Red","Line 2",-45.464774,167.156241,"2021-06-24 03:04:20+00:00",BP22,DOC200,""
BP23,BP23,-45.464722,167.156745,62.975327,"2021-03-01 02:16:18+00:00",DOC200," Pin Red","Line 4",-45.464727,167.156732,"2021-06-24 03:04:19+00:00",BP23,DOC200,""
BP24,BP24,-45.464797,167.157024,75.501312,"2021-03-01 02:25:58+00:00",A24," Pin Blue","Line 4",-45.464805,167.157018,"2021-06-24 03:04:19+00:00",BP24,A24,""
BP25,BP25,-45.464556,167.15733,75.030815,"2021-03-01 02:22:35+00:00",A24," Pin Blue","Line 4",-45.46456,167.157325,"2021-06-24 03:04:19+00:00",BP25,A24,""
BP26,BP26,-45.464566,167.15772,70.594307,"2021-03-01 02:29:47+00:00",DOC200," Pin Red","Line 4",-45.46457,167.157707,"2021-06-24 03:04:19+00:00",BP26,DOC200,""
BP27,BP27,-45.465423,167.153481,58.910099,"2021-03-01 01:10:41+00:00",DOC200," Pin Red","Line 3",-45.465424,167.153474,"2021-06-24 03:04:19+00:00",BP27,DOC200,""
BP27.4,BP27.4,-45.46475,167.157882,64.048279,"2021-03-01 02:31:42+00:00",A24," Pin Blue","Line 4",-45.46475,167.157881,"2021-06-24 03:10:22+00:00",BP27.4,A24,""
BP28,BP28,-45.465629,167.153716,59.558823,"2021-03-01 01:09:22+00:00",A24," Pin Blue","Line 3",-45.465634,167.153708,"2021-06-24 03:04:19+00:00",BP28,A24,""
BP29,BP29,-45.46594,167.154445,65.044601,"2021-03-01 01:06:47+00:00",A24," Pin Blue","Line 3",-45.465942,167.154444,"2021-06-24 03:04:19+00:00",BP29,A24,""
BP30,BP30,-45.465844,167.154687,70.517097,"2021-03-01 01:03:42+00:00",DOC200," Pin Red","Line 3",-45.465847,167.154684,"2021-06-24 03:04:19+00:00",BP30,DOC200,""
BP31,BP31,-45.46563,167.154501,66.669121,"2021-03-01 01:01:36+00:00",A24," Pin Blue","Line 3",-45.46563,167.154489,"2021-06-24 03:04:19+00:00",BP31,A24,""
BP32,BP32,-45.465431,167.153976,61.698624,"2021-03-01 00:57:46+00:00",DOC200," Pin Red","Line 3",-45.465432,167.153972,"2021-06-24 03:04:19+00:00",BP32,DOC200,""
BP44,BP44,-45.466559,167.152057,98.843773,"2021-03-01 01:19:09+00:00",A24," Pin Blue","Line 4",-45.466567,167.152051,"2021-06-24 03:04:19+00:00",BP44,A24,""
BP45,BP45,-45.466874,167.152401,91.993797,"2021-03-01 01:22:08+00:00",A24," Pin Blue","Line 4",-45.466881,167.152389,"2021-06-24 03:04:19+00:00",BP45,A24,""
BP45.4,BP45.4,-45.467236,167.15273,99.009644,"2021-03-01 01:26:26+00:00",A24," Pin Blue","Line 4",-45.46724,167.152723,"2021-06-24 03:04:19+00:00",BP45.4,A24,""
BP46,BP46,-45.467252,167.152839,92.49247,"2021-03-01 01:28:13+00:00",DOC200," Pin Red","Line 4",-45.467255,167.152836,"2021-06-24 03:04:19+00:00",BP46,DOC200,""
BP47,BP47,-45.467266,167.153273,83.955704,"2021-03-01 01:30:45+00:00",A24," Pin Blue","Line 4",-45.467268,167.15327,"2021-06-24 03:04:19+00:00",BP47,A24,""
BP48,BP48,-45.467273,167.153601,84.167526,"2021-03-01 01:32:30+00:00",DOC200," Pin Red","Line 4",-45.467276,167.153589,"2021-06-24 03:04:19+00:00",BP48,DOC200,""
BP49,BP49,-45.467126,167.15392,77.048462,"2021-03-01 01:35:43+00:00",A24," Pin Blue","Line 4",-45.46713,167.153911,"2021-06-24 03:04:19+00:00",BP49,A24,""
BP49.4,BP49.4,-45.466929,167.153987,75.054749,"2021-03-01 01:37:28+00:00",DOC200," Pin Red","Line 4",-45.466936,167.153982,"2021-06-24 03:04:19+00:00",BP49.4,DOC200,""
BP50,BP50,-45.466738,167.154045,76.205254,"2021-03-01 01:39:57+00:00",A24," Pin Blue","Line 4",-45.466741,167.154041,"2021-06-24 03:04:19+00:00",BP50,A24,""
BP51,BP51,-45.466704,167.15439,83.188019,"2021-03-01 01:42:10+00:00",DOC200," Pin Red","Line 4",-45.466704,167.154377,"2021-06-24 03:04:19+00:00",BP51,DOC200,""
BP52,BP52,-45.466598,167.154467,86.26825,"2021-03-01 01:43:40+00:00",A24," Pin Blue","Line 4",-45.466601,167.154465,"2021-06-24 03:04:19+00:00",BP52,A24,""
BP53,BP53,-45.466539,167.154741,80.116631,"2021-03-01 01:45:42+00:00",DOC200," Pin Red","Line 4",-45.466543,167.15474,"2021-06-24 03:04:19+00:00",BP53,DOC200,""
BP53.4,BP53.4,-45.46636,167.15478,71.65863,"2021-03-01 01:47:28+00:00",A24," Pin Blue","Line 4",-45.466364,167.154771,"2021-06-24 03:04:19+00:00",BP53.4,A24,""
BP53.5,BP53.5,-45.461975,167.149329,188.509552,"2021-02-28 19:36:03+00:00",A24," Pin Blue","Line 5",-45.46198,167.149328,"2021-06-24 03:10:22+00:00",BP53.5,A24,""
BP54,BP54,-45.461847,167.149155,202.101562,"2021-02-28 19:48:08+00:00",A24," Pin Blue","Line 5",-45.461853,167.14915,"2021-06-24 03:04:19+00:00",BP54,A24,""
BP54.4,BP54.4,-45.466212,167.154697,68.855789,"2021-03-01 01:49:39+00:00",DOC200," Pin Red","Line 4",-45.466216,167.154684,"2021-06-24 03:04:19+00:00",BP54.4,DOC200,""
BP54.5,BP54.5,-45.46114,167.148646,219.715271,"2021-02-28 20:03:43+00:00",A24," Pin Blue","Line 5",-45.461143,167.148635,"2021-06-24 03:04:19+00:00",BP54.5,A24,""
BP55,BP55,-45.460628,167.148406,212.656723,"2021-02-28 20:14:31+00:00",A24," Pin Blue","Line 5",-45.460635,167.148393,"2021-06-24 03:04:19+00:00",BP55,A24,""
BP55.4,BP55.4,-45.466099,167.154798,70.281342,"2021-03-01 01:51:08+00:00",A24," Pin Blue","Line 4",-45.466104,167.154785,"2021-06-24 03:04:19+00:00",BP55.4,A24,""
BP56,BP56,-45.460276,167.148032,205.121765,"2021-02-28 20:21:16+00:00",A24," Pin Blue","Line 5",-45.460283,167.148021,"2021-06-24 03:04:19+00:00",BP56,A24,""
BP56.4,BP56.4,-45.465911,167.155121,72.995186,"2021-03-01 01:53:16+00:00",A24," Pin Blue","Line 4",-45.465914,167.155112,"2021-06-24 03:04:19+00:00",BP56.4,A24,""
BP57,BP57,-45.460149,167.14759,215.467514,"2021-02-28 20:32:09+00:00",A24," Pin Blue","Line 5",-45.460153,167.147586,"2021-06-24 03:04:19+00:00",BP57,A24,""
BP58,BP58,-45.459701,167.148107,206.43924,"2021-02-28 20:39:04+00:00",A24," Pin Blue","Line 5",-45.459702,167.148106,"2021-06-24 03:04:19+00:00",BP58,A24,""
BP58.4,BP58.4,-45.465781,167.155543,70.018654,"2021-03-01 01:59:43+00:00",A24," Pin Blue","Line 4",-45.465782,167.155535,"2021-06-24 03:04:19+00:00",BP58.4,A24,""
BP59,BP59,-45.459531,167.148179,194.410507,"2021-02-28 20:48:11+00:00",A24," Pin Blue","Line 5",-45.459535,167.148175,"2021-06-24 03:04:19+00:00",BP59,A24,""
BP59.4,BP59.4,-45.465702,167.155895,72.343536,"2021-03-01 02:02:15+00:00",A24," Pin Blue","Line 4",-45.46571,167.155888,"2021-06-24 03:04:19+00:00",BP59.4,A24,""
BP60,BP60,-45.45907,167.148123,175.738297,"2021-02-28 20:55:48+00:00",A24," Pin Blue","Line 5",-45.459073,167.148121,"2021-06-24 03:04:19+00:00",BP60,A24,""
BP60.4,BP60.4,-45.465265,167.155895,61.223221,"2021-03-01 02:04:33+00:00",A24," Pin Blue","Line 4",-45.465269,167.155882,"2021-06-24 03:04:19+00:00",BP60.4,A24,""
BP61,BP61,-45.465166,167.15604,69.345482,"2021-03-01 02:06:51+00:00",DOC200," Pin Red","Line 4",-45.465169,167.156033,"2021-06-24 03:04:19+00:00",BP61,DOC200,""
BP62,BP62,-45.465138,167.156167,69.247459,"2021-03-01 02:08:25+00:00",A24," Pin Blue","Line 4",-45.465139,167.156164,"2021-06-24 03:04:19+00:00",BP62,A24,""
BP63,BP63,-45.46488,167.156435,55.353573,"2021-03-01 02:10:37+00:00",A24," Pin Blue","Line 4",-45.464883,167.156434,"2021-06-24 03:04:19+00:00",BP63,A24,""
BP64,BP64,-45.464812,167.156452,51.979195,"2021-03-01 02:13:27+00:00",A24," Pin Blue","Line 4",-45.464812,167.156441,"2021-06-24 03:04:19+00:00",BP64,A24,""
BP70,BP70,-45.465762,167.152819,42.002918,"2021-02-28 22:36:45+00:00",DOC200," Pin Red","Line 6",-45.465768,167.152811,"2021-06-24 03:04:19+00:00",BP70,DOC200,""
BP71,BP71,-45.465755,167.152457,42.967293,"2021-02-28 22:42:56+00:00",A24," Pin Blue","Line 6",-45.465759,167.152454,"2021-06-24 03:04:19+00:00",BP71,A24,""
BP72,BP72,-45.465653,167.152195,55.017143,"2021-02-28 22:47:13+00:00",A24," Pin Blue","Line 6",-45.465655,167.152183,"2021-06-24 03:04:19+00:00",BP72,A24,""
BP73,BP73,-45.465648,167.15189,68.814079,"2021-02-28 22:51:57+00:00",DOC200," Pin Red","Line 6",-45.465649,167.15189,"2021-06-24 03:04:19+00:00",BP73,DOC200,""
BP74,BP74,-45.465433,167.15152,81.076782,"2021-02-28 22:57:16+00:00",A24," Pin Blue","Line 6",-45.465441,167.151515,"2021-06-24 03:04:19+00:00",BP74,A24,""
BP75,BP75,-45.465066,167.151164,93.073631,"2021-02-28 23:02:14+00:00",A24," Pin Blue","Line 6",-45.465071,167.151157,"2021-06-24 03:04:19+00:00",BP75,A24,""
BP76,BP76,-45.46521,167.150928,108.217377,"2021-02-28 23:07:37+00:00",DOC200," Pin Red","Line 6",-45.465212,167.150925,"2021-06-24 03:04:19+00:00",BP76,DOC200,""
BP76.6,BP76.6,-45.465062,167.15073,125.212807,"2021-02-28 23:17:09+00:00"," No Trap"," Navaid Black","Line 6",-45.465067,167.150722,"2021-06-24 03:04:19+00:00",BP76.6," No Trap",""
BP77,BP77,-45.465055,167.150301,151.314484,"2021-02-28 23:20:49+00:00",A24," Pin Blue","Line 6",-45.465063,167.150288,"2021-06-24 03:04:19+00:00",BP77,A24,""
BP78,BP78,-45.464916,167.150166,164.997482,"2021-02-28 23:25:46+00:00",A24," Pin Blue","Line 6",-45.464921,167.150162,"2021-06-24 03:04:19+00:00",BP78,A24,""
BP78.6,BP78.6,-45.465061,167.149513,186.063461,"2021-02-28 23:35:25+00:00","A24 down hill"," Pin Blue","Line 6",-45.465067,167.149507,"2021-06-24 03:04:19+00:00",BP78.6,"A24 down hill",""
BP79,BP79,-45.465018,167.149622,193.359573,"2021-02-28 23:36:52+00:00",A24," Pin Blue","Line 6",-45.465019,167.149614,"2021-06-24 03:04:19+00:00",BP79,A24,""
BP80,BP80,-45.464874,167.149259,221.153473,"2021-02-28 23:44:12+00:00",A24," Pin Blue","Line 6",-45.464875,167.149258,"2021-06-24 03:04:19+00:00",BP80,A24,""
BP81,BP81,-45.464807,167.148927,232.546707,"2021-02-28 23:50:33+00:00",A24," Pin Blue","Line 6",-45.464812,167.148919,"2021-06-24 03:04:19+00:00",BP81,A24,""
BP82,BP82,-45.46456,167.148949,235.754959,"2021-02-28 23:55:13+00:00",A24," Pin Blue","Line 6",-45.464562,167.148945,"2021-06-24 03:04:19+00:00",BP82,A24,""
BP83,BP83,-45.464264,167.148804,240.668991,"2021-02-28 23:58:43+00:00",A24," Pin Blue","Line 6",-45.464266,167.148797,"2021-06-24 03:04:19+00:00",BP83,A24,""
BP84,BP84,-45.464004,167.148736,236.377335,"2021-03-01 00:02:48+00:00",A24," Pin Blue","Line 6",-45.464011,167.148734,"2021-06-24 03:04:19+00:00",BP84,A24,""
BP85,BP85,-45.463761,167.148378,235.779617,"2021-03-01 00:07:55+00:00",A24," Pin Blue","Line 6",-45.463767,167.148375,"2021-06-24 03:04:19+00:00",BP85,A24,""
BPA01,BPA01,-45.463719,167.15431,19.394974,"2021-03-01 18:48:56+00:00",A12," Pin Green","Line 7",-45.463721,167.154303,"2021-06-24 03:04:20+00:00",BPA01,A12,"Removed to line 2"
BPA02,BPA02,-45.463505,167.153588,20.532106,"2021-03-01 18:45:31+00:00",A12," Pin Green","Line 7",-45.463513,167.153583,"2021-06-24 03:04:20+00:00",BPA02,A12,Counters
BPA03,BPA03,-45.464019,167.153227,24.546474,"2021-03-01 18:55:25+00:00",A12," Pin Green","Line 7",-45.464025,167.153222,"2021-06-24 03:04:20+00:00",BPA03,A12,""
BPA04,"",-45.463447,167.15299,19.522469,"2021-03-01 18:51:04+00:00",A12," Pin Green","Line 7","","","",BPA04,A12,"Counters. Removed to line 2"
BPA05,BPA05,-45.464015,167.153633,26.367428,"2021-03-01 18:56:30+00:00",A12," Pin Green","Line 7",-45.464019,167.153632,"2021-06-24 03:04:20+00:00",BPA05,A12,"Removed to line 2"
BPT01,"",-45.458399,167.150725,17.673618,"2021-03-01 18:33:00+00:00"," Trapinator"," Pin Green","Line 7","","","",BPT01," Trapinator","? Missed"
BPT02,"",-45.462147,167.152094,20.708523,"2021-03-01 18:41:54+00:00"," Trapinator"," Pin Green","Line 7","","","",BPT02," Trapinator",""
BPT03,"",-45.459134,167.150921,19.401604,"2021-03-01 18:35:24+00:00"," Trapinator"," Pin Green","Line 7","","","",BPT03," Trapinator",""
BPT04,"",-45.460451,167.151384,17.093588,"2021-03-01 18:38:35+00:00"," Trapinator"," Pin Green","Line 7","","","",BPT04," Trapinator",""
BPT05,BPT05,-45.4658,167.158333,35.897243,"2021-03-01 19:06:46+00:00"," Trapinator"," Pin Green","Line 7",-45.465808,167.158321,"2021-06-24 03:04:20+00:00",BPT05," Trapinator",""
BPT06,BPT06,-45.466609,167.158812,31.37886,"2021-03-01 19:08:29+00:00"," Trapinator"," Pin Green","Line 7",-45.466616,167.1588,"2021-06-24 03:04:20+00:00",BPT06," Trapinator","Broken, too low, moved higher"
BPT07,BPT07,-45.467704,167.159761,21.857111,"2021-03-01 19:10:20+00:00"," Trapinator"," Pin Green","Line 7",-45.467709,167.159749,"2021-06-24 03:04:20+00:00",BPT07," Trapinator",""
