name, lat, lon,ele,time,desc,cmt,ACTION REQUIRED
BPT01,BPT02,167.150725,17.673618,2021-03-01 18:33:00+00:00,Line 7,Trapinator, Trapinator not in db
BPT02,-45.462147,167.152094,20.708523,2021-03-01 18:41:54+00:00,Line 7,Trapinator, Trapinator not in db
BPT03,-45.459134,167.150921,19.401604,2021-03-01 18:35:24+00:00,Line 7,Trapinator, Trapinator not in db
BPT04,-45.460451,167.151384,17.093588,2021-03-01 18:38:35+00:00,Line 7,Trapinator, Trapinator not in db
BPT05,-45.4658,167.158333,35.897243,2021-03-01 19:06:46+00:00,Line 7,Trapinator, Trapinator not in db
BPT06,-45.466609,167.158812,31.37886,2021-03-01 19:08:29+00:00,Line 7,Trapinator, Trapinator not in db
BPT07,-45.467704,167.159761,21.857111,2021-03-01 19:10:20+00:00,Line 7,Trapinator, Trapinator not in db
BPT08,-45.464882,167.158134,46.232666,2021-03-01 19:03:24+00:00,Line 7,Trapinator, Trapinator not in db
BPT09,-45.468211,167.159905,17.120449,2021-03-01 19:11:35+00:00,Line 7,Trapinator, Trapinator not in db
BPT10,-45.469326,167.160425,15.682059,2021-03-01 19:15:01+00:00,Line 7,Trapinator, Trapinator not in db
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,