geometry,Area,Line,Tag No,Trap 1,Trap 2,Date Checked,Baited With,Baited On,Status,Record Comment,Comment,User ID,Trap No,Trap Type
"X: 1204488.7613, Y: 5030754.4559, Z: NaN",Hollyford,AC_Possum,P01,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,1,Trapinator
"X: 1204498.5336, Y: 5030768.6044, Z: NaN",Hollyford,AC_Possum,P02,Sprung and Empty,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,2,Trapinator
"X: 1204707.6319, Y: 5031132.225, Z: NaN",Hollyford,AC_Possum,P03,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,3,Trapinator
"X: 1204673.8172, Y: 5030988.5299, Z: NaN",Hollyford,AC_Possum,P04,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,4,Trapinator
"X: 1204704.9024, Y: 5030800.9929, Z: NaN",Hollyford,AC_Possum,P05,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,5,Trapinator
"X: 1204524.4084, Y: 5030722.53, Z: NaN",Hollyford,AC_Possum,P06,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,6,Trapinator
"X: 1204507.483, Y: 5030681.345, Z: NaN",Hollyford,AC_Possum,P07,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,7,Trapinator
"X: 1204463.5913, Y: 5030817.4686, Z: NaN",Hollyford,AC_Possum,P08,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,8,Trapinator
"X: 1204341.9232, Y: 5030860.8215, Z: NaN",Hollyford,AC_Possum,P09,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,9,Trapinator
"X: 1204333.6698, Y: 5030944.5013, Z: NaN",Hollyford,AC_Possum,P10,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,10,Trapinator
"X: 1204291.4046, Y: 5031029.654, Z: NaN",Hollyford,AC_Possum,P11,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,11,Trapinator
"X: 1204320.4476, Y: 5031013.5978, Z: NaN",Hollyford,AC_Possum,P12,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,12,Trapinator
"X: 1204407.084, Y: 5031059.0818, Z: NaN",Hollyford,AC_Possum,P13,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,13,Trapinator
"X: 1204417.9608, Y: 5031079.823, Z: NaN",Hollyford,AC_Possum,P14,Possum,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Maintenance required functioning,,"Bent, hard to set.",Southland Tramping Club,14,Trapinator
"X: 1204448.6033, Y: 5031104.6808, Z: NaN",Hollyford,AC_Possum,P15,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,15,Trapinator
"X: 1204489.6907, Y: 5031134.0844, Z: NaN",Hollyford,AC_Possum,P16,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,16,Trapinator
"X: 1204519.9626, Y: 5031141.7469, Z: NaN",Hollyford,AC_Possum,P17,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,17,Trapinator
"X: 1204522.0747, Y: 5031177.1132, Z: NaN",Hollyford,AC_Possum,P18,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,18,Trapinator
"X: 1204539.8014, Y: 5031211.7684, Z: NaN",Hollyford,AC_Possum,P19,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,19,Trapinator
"X: 1204406.1226, Y: 5030829.6514, Z: NaN",Hollyford,AC_Possum,P20,Sprung and Empty,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,20,Trapinator
"X: 1204584.3375, Y: 5031169.6845, Z: NaN",Hollyford,AC_Possum,P21,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,21,Trapinator
"X: 1204298.0866, Y: 5031029.5081, Z: NaN",Hollyford,AC_Possum,P22,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,22,Trapinator
"X: 1204343.51, Y: 5031003.9836, Z: NaN",Hollyford,AC_Possum,P23,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,23,Trapinator
"X: 1204408.5247, Y: 5031075.6736, Z: NaN",Hollyford,AC_Possum,P24,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Maintenance required not functioning,,Needs screws,Southland Tramping Club,24,Trapinator
"X: 1204527.122, Y: 5031221.5809, Z: NaN",Hollyford,AC_Possum,P25,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,25,Trapinator
"X: 1204732.3037, Y: 5031319.9598, Z: NaN",Hollyford,AC_Possum,P26,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,26,Trapinator
"X: 1204788.6054, Y: 5031266.1098, Z: NaN",Hollyford,AC_Possum,P27,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,27,Trapinator
"X: 1204760.113, Y: 5030874.5289, Z: NaN",Hollyford,AC_Possum,P28,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,28,Trapinator
"X: 1204552.598, Y: 5030677.5443, Z: NaN",Hollyford,AC_Possum,P29,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,29,Trapinator
"X: 1204544.3824, Y: 5030631.6549, Z: NaN",Hollyford,AC_Possum,P30,Sprung and Empty,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,30,Trapinator
"X: 1204575.8284, Y: 5031178.8617, Z: NaN",Hollyford,AC_Possum,P31,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,31,Trapinator
"X: 1204584.5632, Y: 5031166.0186, Z: NaN",Hollyford,AC_Possum,P32,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,32,Trapinator
"X: 1205003.8672, Y: 5031531.3554, Z: NaN",Hollyford,Alpine Club,AC01,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Maintenance required not functioning,,N/A,Southland Tramping Club,1,DOC 200 Single
"X: 1204945.9345, Y: 5031455.4252, Z: NaN",Hollyford,Alpine Club,AC02,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,2,DOC 200 Single
"X: 1204855.0509, Y: 5031395.2237, Z: NaN",Hollyford,Alpine Club,AC03,Sprung and Empty,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,3,DOC 200 Single
"X: 1204789.0748, Y: 5031351.4413, Z: NaN",Hollyford,Alpine Club,AC04,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,4,DOC 200 Single
"X: 1204787.6273, Y: 5031263.931, Z: NaN",Hollyford,Alpine Club,AC05,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,5,DOC 200 Single
"X: 1204708.1496, Y: 5031127.6851, Z: NaN",Hollyford,Alpine Club,AC06,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,6,DOC 200 Single
"X: 1204666.6673, Y: 5030988.5358, Z: NaN",Hollyford,Alpine Club,AC07,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,7,DOC 200 Single
"X: 1204655.2677, Y: 5030907.8836, Z: NaN",Hollyford,Alpine Club,AC08,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Missing,,N/A,Southland Tramping Club,8,DOC 200 Single
"X: 1204699.8054, Y: 5030797.334, Z: NaN",Hollyford,Alpine Club,AC09,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,9,DOC 200 Single
"X: 1204632.2833, Y: 5030726.3846, Z: NaN",Hollyford,Alpine Club,AC10,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,10,DOC 200 Single
"X: 1204595.0786, Y: 5030732.011, Z: NaN",Hollyford,Alpine Club,AC11,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,11,DOC 200 Single
"X: 1204476.0516, Y: 5030754.4537, Z: NaN",Hollyford,Alpine Club,AC12,Sprung and Empty,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,12,DOC 200 Single
"X: 1204459.2484, Y: 5030824.7836, Z: NaN",Hollyford,Alpine Club,AC13,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,13,DOC 200 Single
"X: 1204390.1881, Y: 5030817.5191, Z: NaN",Hollyford,Alpine Club,AC14,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,14,DOC 200 Single
"X: 1204501.4981, Y: 5030676.6276, Z: NaN",Hollyford,Alpine Club,AC15,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,15,DOC 200 Single
"X: 1204103.1404, Y: 5031048.828, Z: NaN",Hollyford,Alpine Club,AC16,Weasel,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,16,DOC 200 Single
"X: 1204540.4828, Y: 5030513.1054, Z: NaN",Hollyford,Alpine Club,AC17,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,17,DOC 200 Single
"X: 1205456.7566, Y: 5029254.159, Z: NaN",Hollyford,Alpine Club,AC18,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Missing,,N/A,Southland Tramping Club,18,DOC 150 Double
"X: 1205048.8321, Y: 5031607.6027, Z: NaN",Hollyford,Alpine Club,AC21,Sprung and Empty,Sprung and Empty,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,21,DOC 150 Double
"X: 1205126.2722, Y: 5031649.272, Z: NaN",Hollyford,Alpine Club,AC22,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,22,DOC 150 Double
"X: 1205248.8083, Y: 5031690.1434, Z: NaN",Hollyford,Alpine Club,AC23,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,23,DOC 150 Double
"X: 1205350.1262, Y: 5031756.9285, Z: NaN",Hollyford,Alpine Club,AC24,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,24,DOC 150 Double
"X: 1205435.3879, Y: 5031890.4133, Z: NaN",Hollyford,Alpine Club,AC25,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,25,DOC 150 Double
"X: 1205489.2721, Y: 5032003.526, Z: NaN",Hollyford,Alpine Club,AC26,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,26,DOC 150 Double
"X: 1205416.449, Y: 5031904.9841, Z: NaN",Hollyford,Alpine Club,AC27,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,27,DOC 150 Double
"X: 1205627.9744, Y: 5032469.7682, Z: NaN",Hollyford,Alpine Club,AC28,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,28,DOC 150 Double
"X: 1205600.374, Y: 5032511.6724, Z: NaN",Hollyford,Alpine Club,AC29,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,29,DOC 150 Double
"X: 1205657.9861, Y: 5032665.6279, Z: NaN",Hollyford,Alpine Club,AC30,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,30,DOC 150 Double
"X: 1203435.6775, Y: 5031086.0411, Z: NaN",Hollyford,Alpine Club,AC31,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,31,DOC 150 Double
"X: 1203409.3137, Y: 5031138.6069, Z: NaN",Hollyford,Alpine Club,AC32,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,32,DOC 150 Double
"X: 1203359.2993, Y: 5031186.9245, Z: NaN",Hollyford,Alpine Club,AC33,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,33,DOC 150 Double
"X: 1203320.3838, Y: 5031266.4809, Z: NaN",Hollyford,Alpine Club,AC34,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,34,DOC 150 Double
"X: 1203323.5958, Y: 5031327.6751, Z: NaN",Hollyford,Alpine Club,AC35,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,35,DOC 150 Double
"X: 1203340.118, Y: 5031389.4682, Z: NaN",Hollyford,Alpine Club,AC36,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,36,DOC 150 Double
"X: 1203298.7774, Y: 5031425.9436, Z: NaN",Hollyford,Alpine Club,AC37,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,37,DOC 150 Double
"X: 1203204.4701, Y: 5031513.4525, Z: NaN",Hollyford,Alpine Club,AC38,Sprung and Empty,Sprung and Empty,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,38,DOC 150 Double
"X: 1203179.2804, Y: 5031528.9574, Z: NaN",Hollyford,Alpine Club,AC39,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,39,DOC 150 Double
"X: 1203134.27, Y: 5031546.3601, Z: NaN",Hollyford,Alpine Club,AC40,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,40,DOC 150 Double
"X: 1203077.5463, Y: 5031568.1681, Z: NaN",Hollyford,Alpine Club,AC41,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,41,DOC 200 Single
"X: 1202992.124, Y: 5031574.8209, Z: NaN",Hollyford,Alpine Club,AC42,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,42,DOC 200 Single
"X: 1202995.0352, Y: 5031552.1411, Z: NaN",Hollyford,Alpine Club,AC43,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,43,DOC 200 Single
"X: 1205611.9549, Y: 5032781.6862, Z: NaN",Hollyford,Alpine Club,AC60,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,60,DOC 200 Single
"X: 1205751.798, Y: 5032781.3274, Z: NaN",Hollyford,Alpine Club,AC61,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,61,DOC 200 Single
"X: 1205886.8445, Y: 5032739.1001, Z: NaN",Hollyford,Alpine Club,AC62,Sprung and Empty,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,62,DOC 200 Single
"X: 1203626.6967, Y: 5031228.2983, Z: NaN",Hollyford,Alpine Club,AC70,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,70,DOC 200 Double
"X: 1203693.541, Y: 5031189.1576, Z: NaN",Hollyford,Alpine Club,AC71,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,71,DOC 200 Single
"X: 1203815.9412, Y: 5031033.6829, Z: NaN",Hollyford,Alpine Club,AC72,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,72,DOC 200 Single
"X: 1204324.4089, Y: 5030959.4304, Z: NaN",Hollyford,Alpine Club,AC76,0,N/A,2021-03-27T23:00:00.0000000,No Bait,2020-10-21T10:00:00.0000000,Open,,N/A,Southland Tramping Club,76,A24
"X: 1204335.7278, Y: 5030864.6771, Z: NaN",Hollyford,Alpine Club,AC77,0,N/A,2021-03-27T23:00:00.0000000,No Bait,2020-10-21T10:00:00.0000000,Open,,N/A,Southland Tramping Club,77,A24
"X: 1204739.5136, Y: 5030865.9016, Z: NaN",Hollyford,Alpine Club,AC80,0,N/A,2021-03-27T23:00:00.0000000,Other see comment,2020-05-16T12:00:00.0000000,Open,,N/A,Southland Tramping Club,80,A24
"X: 1204751.4513, Y: 5030690.0094, Z: NaN",Hollyford,Alpine Club,AC81,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,Could not find,Southland Tramping Club,81,DOC 200 Double
"X: 1204867.793, Y: 5030810.5712, Z: NaN",Hollyford,Alpine Club,AC82,Sprung and Empty,Sprung and Empty,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,82,DOC 200 Double
"X: 1204888.9158, Y: 5030885.5766, Z: NaN",Hollyford,Alpine Club,AC83,0,N/A,2021-03-27T23:00:00.0000000,No Bait,2020-10-21T10:00:00.0000000,Open,,"Stoat, freshish",Southland Tramping Club,83,A24
"X: 1204808.975, Y: 5030809.8512, Z: NaN",Hollyford,Alpine Club,AC84,0,N/A,2021-03-27T23:00:00.0000000,No Bait,2020-10-21T10:00:00.0000000,Open,,N/A,Southland Tramping Club,84,A24
"X: 1204760.1208, Y: 5030782.7592, Z: NaN",Hollyford,Alpine Club,AC85,0,N/A,2021-03-27T23:00:00.0000000,No Bait,2020-10-21T10:00:00.0000000,Open,,N/A,Southland Tramping Club,85,A24
"X: 1205454.2941, Y: 5029252.6571, Z: NaN",Hollyford,Alpine Club,AC86,0,N/A,2021-03-27T23:00:00.0000000,No Bait,2020-10-21T10:00:00.0000000,Open,,N/A,Southland Tramping Club,86,A24
"X: 1204544.2494, Y: 5030741.4725, Z: NaN",Hollyford,Alpine Club,AC87,Still Set,Still Set,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,Homer woodshed,Southland Tramping Club,87,DOC 200 Double
